Crop,N,P,K,pH,Temperature,Humidity,Rainfall,Yield_tons_per_hectare
Rice,112.48,30.58,38.13,7.16,21.56,66.03,170.82,3.15
Wheat,74.42,3.36,50.98,7.28,26.0,55.37,129.43,2.44
Wheat,63.91,52.23,63.81,7.22,17.45,60.34,25.58,2.37
Maize,163.61,50.35,51.18,7.02,23.29,66.7,131.86,3.64
Onion,118.31,53.14,38.27,6.91,25.57,44.5,157.95,1.68
Rice,92.76,63.94,12.57,6.15,26.56,72.16,286.75,2.49
Groundnut,13.33,54.09,15.96,6.0,28.59,56.67,95.33,1.29
Tomato,74.57,66.43,115.1,6.51,25.13,76.93,56.53,2.8
Onion,106.07,82.64,35.34,7.71,25.88,70.53,111.7,1.6
Maize,186.02,72.81,10.66,6.24,24.07,68.1,177.17,3.54
Soybean,21.47,62.87,13.64,6.88,25.53,74.2,86.81,1.84
Maize,181.25,81.67,47.41,7.09,21.47,73.56,262.47,3.78
Rice,58.11,47.23,14.14,6.79,30.25,61.3,141.91,2.74
Cotton,90.97,25.81,77.78,7.13,27.03,47.44,172.44,2.52
Groundnut,15.49,37.76,49.82,6.02,26.3,67.4,4.53,1.68
Rice,82.18,31.77,38.22,6.48,19.34,94.95,202.07,3.35
Groundnut,58.55,29.58,49.47,6.07,31.23,38.73,95.05,1.11
Sugarcane,212.97,109.4,85.85,6.84,29.45,66.03,292.1,7.43
Sugarcane,112.79,92.5,79.23,6.38,23.81,76.09,316.43,6.76
Wheat,101.8,69.12,50.82,6.65,14.23,42.48,130.5,2.69
Groundnut,27.1,41.68,21.09,6.5,20.41,67.76,49.89,1.38
Onion,56.0,39.97,69.51,7.06,26.89,70.22,44.82,1.5
Soybean,56.59,86.61,26.06,6.95,30.46,88.3,109.52,1.85
Tomato,188.45,47.65,49.3,5.56,27.56,51.17,101.38,2.37
Maize,155.56,78.51,54.45,7.44,20.24,58.23,141.37,3.89
Sugarcane,227.01,109.02,123.67,6.61,38.34,90.23,286.78,7.46
Maize,100.3,59.51,35.29,7.16,19.75,72.57,248.53,3.47
Maize,158.51,50.24,33.06,7.42,28.9,64.61,159.1,3.11
Soybean,47.87,98.23,24.39,6.59,31.04,57.45,139.24,1.8
Rice,80.37,97.37,6.63,7.03,27.14,87.72,222.07,2.19
Maize,156.87,32.84,62.06,6.95,28.19,75.58,198.38,3.48
Groundnut,3.57,35.76,63.73,6.92,25.81,60.46,54.77,1.43
Soybean,99.96,98.82,32.43,6.31,27.16,76.46,119.22,1.58
Sugarcane,226.44,114.42,81.67,7.88,35.85,76.34,253.98,7.35
Cotton,74.15,50.6,26.95,7.44,20.19,70.03,103.49,2.01
Maize,131.17,64.24,78.37,5.56,31.38,68.38,119.65,3.14
Wheat,170.29,41.09,36.93,7.57,21.69,50.62,160.83,2.18
Soybean,113.02,81.23,60.64,6.68,34.81,70.0,70.91,1.83
Rice,142.58,19.7,32.77,6.71,27.73,70.18,256.09,2.99
Potato,155.88,61.92,69.02,6.13,23.52,79.75,149.88,2.11
Sugarcane,167.24,116.7,118.28,6.43,37.95,80.74,319.98,6.76
Sugarcane,159.03,97.02,110.06,8.1,33.53,72.57,198.68,7.55
Potato,121.06,112.57,94.31,6.8,21.39,73.63,124.03,2.1
Groundnut,42.85,51.54,28.12,6.12,27.39,38.71,122.91,1.32
Cotton,65.4,16.25,34.12,6.32,24.45,74.53,93.71,1.85
Sugarcane,212.01,102.62,98.45,6.6,37.25,93.07,165.87,7.3
Sugarcane,191.61,80.71,110.12,6.84,40.83,86.91,260.63,7.52
Rice,113.18,28.72,23.68,6.54,32.31,81.39,121.15,2.61
Sugarcane,197.78,98.49,139.45,6.51,32.53,89.89,363.57,7.16
Soybean,94.74,71.4,53.91,6.45,28.18,44.68,164.1,2.0
Groundnut,23.33,90.94,26.5,6.0,36.96,51.68,72.49,1.32
Cotton,125.22,54.16,44.15,6.73,24.96,54.23,141.29,2.25
Wheat,66.72,81.28,65.05,7.69,22.22,71.01,173.33,2.73
Cotton,115.67,48.04,115.45,7.44,30.87,42.24,55.58,2.14
Groundnut,34.37,37.72,42.82,6.99,30.48,48.59,94.42,1.46
Onion,88.37,41.73,40.45,6.17,21.36,59.39,-46.47,2.14
Soybean,112.66,52.47,50.38,5.91,34.48,88.97,137.83,2.09
Onion,105.26,23.27,41.76,6.87,19.73,62.81,95.43,1.74
Groundnut,31.57,28.79,25.66,5.56,31.89,38.94,157.68,1.77
Rice,70.93,0.0,32.77,6.47,22.95,74.85,276.51,2.87
Wheat,92.26,28.05,53.46,6.89,22.48,54.65,175.57,2.92
Cotton,124.47,49.04,66.34,6.82,33.9,48.73,122.26,2.3
Maize,134.95,42.55,56.46,6.77,27.5,59.66,241.04,3.36
Tomato,171.36,25.05,88.7,6.74,20.02,74.24,183.98,1.89
Cotton,115.08,0.13,50.69,7.81,25.09,43.26,110.1,2.32
Rice,25.05,18.97,69.95,7.43,27.48,67.61,304.79,2.57
Wheat,140.37,43.75,59.02,6.92,21.65,74.51,193.97,2.48
Tomato,161.29,66.26,93.74,7.23,18.44,69.64,93.43,2.26
Soybean,90.4,110.23,13.2,6.48,29.2,71.23,124.34,1.37
Groundnut,36.98,34.86,0.0,6.8,31.79,60.52,111.45,1.56
Groundnut,36.73,68.08,34.05,6.86,28.6,61.94,36.5,1.58
Soybean,55.04,47.23,33.69,5.97,36.62,83.31,226.02,1.5
Tomato,122.14,34.13,66.09,6.04,30.2,66.04,173.42,2.73
Onion,169.11,20.41,75.18,7.37,17.13,75.07,116.81,1.29
Wheat,95.28,45.62,101.0,7.0,23.91,52.09,111.01,2.62
Soybean,39.51,51.7,50.68,6.56,25.1,73.96,164.64,2.03
Tomato,90.43,54.32,103.9,6.95,17.14,73.51,21.09,2.52
Sugarcane,256.93,81.04,83.31,7.58,22.29,68.67,279.82,6.76
Cotton,92.92,64.88,78.43,7.13,26.3,58.7,113.81,2.38
Rice,65.09,36.35,20.2,6.48,23.94,68.86,212.93,3.06
Soybean,103.49,51.38,58.16,6.78,28.22,61.74,137.47,2.01
Rice,80.22,0.0,43.21,7.61,26.2,72.72,218.67,2.95
Onion,135.78,24.84,64.63,7.1,21.29,68.39,151.47,1.75
Onion,65.71,66.4,48.71,6.84,22.37,63.5,159.59,1.69
Sugarcane,166.41,92.13,103.57,7.81,33.02,66.49,374.26,7.37
Groundnut,68.26,46.97,50.67,6.62,33.09,70.57,143.61,1.1
Soybean,62.85,66.65,68.66,6.39,31.33,84.53,84.18,1.71
Wheat,115.79,66.15,49.51,7.68,22.12,60.39,78.2,2.5
Groundnut,38.43,7.35,60.25,6.12,43.22,83.08,90.93,1.22
Tomato,149.87,94.06,47.24,5.61,20.89,75.83,144.84,2.56
Groundnut,0.0,3.68,57.16,5.79,16.91,61.45,139.66,0.97
Wheat,106.26,56.81,52.59,6.33,16.43,65.21,166.08,2.81
Cotton,70.15,46.37,26.46,7.09,35.14,40.26,90.7,2.07
Onion,137.59,41.04,36.15,5.82,22.52,85.42,113.87,1.65
Cotton,109.66,49.78,53.74,7.41,29.13,55.18,71.23,2.57
Soybean,99.94,48.94,70.04,6.25,22.09,62.4,41.45,1.91
Groundnut,0.0,25.43,0.0,6.16,26.25,56.73,47.87,0.77
Soybean,93.93,48.99,56.33,6.06,26.91,83.03,159.31,1.89
Cotton,107.72,45.19,70.16,6.84,27.18,57.12,70.33,2.17
Onion,58.34,17.99,25.65,6.88,17.54,70.14,101.74,1.08
Maize,169.65,86.22,30.12,7.01,20.72,65.98,116.78,3.07
Sugarcane,188.52,97.53,92.05,6.61,28.0,77.69,247.76,7.73
Soybean,59.9,83.43,26.48,6.74,31.91,74.81,119.87,1.66
Soybean,111.08,31.54,30.6,6.3,32.19,73.8,81.6,1.62
Maize,131.57,55.8,69.58,6.11,33.04,73.28,234.54,3.29
Tomato,115.5,31.34,69.51,6.75,30.48,58.93,101.72,2.59
Tomato,78.13,71.83,65.52,6.4,21.74,62.11,119.65,2.54
Cotton,88.84,35.43,76.39,7.83,28.7,64.96,50.49,2.25
Soybean,47.08,30.46,35.21,7.1,30.75,72.43,53.36,1.64
Onion,109.05,53.51,13.12,6.35,21.68,70.36,-9.81,1.61
Rice,84.29,56.99,53.86,6.79,24.0,60.92,180.35,3.2
Cotton,141.8,64.21,78.59,7.19,25.22,53.7,203.45,1.86
Cotton,148.44,43.56,96.51,6.3,30.93,47.63,49.24,2.01
Sugarcane,230.28,83.1,70.02,7.15,29.56,80.48,297.48,7.12
Soybean,135.67,64.48,43.07,5.69,24.69,66.64,178.02,1.85
Tomato,84.62,63.45,93.43,7.26,28.44,77.61,123.0,2.72
Tomato,157.49,33.34,73.01,6.11,25.9,82.3,90.15,2.03
Groundnut,17.63,68.27,50.75,6.41,25.6,47.21,125.76,1.28
Potato,215.52,91.41,88.39,5.69,17.54,72.6,205.84,2.17
Potato,128.05,117.81,100.99,6.38,14.96,78.63,165.56,1.82
Potato,210.46,105.81,92.06,5.45,19.74,75.87,167.78,2.14
Sugarcane,215.19,128.95,111.36,6.68,36.81,91.41,407.6,6.79
Onion,107.29,8.36,61.06,6.53,31.62,57.25,15.54,1.45
Potato,90.74,95.02,58.7,6.01,7.61,71.8,232.17,2.0
Maize,124.1,69.38,50.36,7.04,18.17,70.93,44.78,3.52
Wheat,105.35,72.67,60.45,6.3,15.08,61.99,146.05,2.64
Cotton,85.57,63.92,59.65,6.96,38.85,40.76,27.41,2.27
Onion,79.64,43.64,34.38,6.67,29.99,73.02,143.11,1.42
Tomato,85.47,3.22,63.81,6.98,26.58,67.78,118.88,2.16
Groundnut,36.14,65.32,7.68,6.35,31.66,55.85,135.04,1.95
Wheat,116.87,67.87,45.24,7.09,22.3,61.95,99.02,2.8
Sugarcane,243.87,108.97,119.24,7.08,33.75,77.79,202.45,7.24
Cotton,70.25,37.34,73.79,7.15,22.05,65.54,148.6,2.02
Sugarcane,153.87,97.1,91.08,7.26,28.18,54.93,230.58,7.28
Sugarcane,219.01,86.04,133.57,6.24,36.56,72.76,292.98,7.07
Maize,184.19,62.25,28.03,7.51,24.43,67.22,241.74,3.21
Rice,97.86,28.2,37.36,6.54,20.5,72.21,267.55,3.22
Rice,78.12,44.86,34.12,7.18,27.0,82.32,257.3,3.12
Sugarcane,246.76,69.39,132.59,7.01,28.79,56.1,227.26,6.56
Potato,131.77,77.25,119.16,6.1,19.54,64.04,105.96,2.66
Tomato,97.94,93.12,75.14,6.5,29.35,82.72,114.46,2.48
Wheat,118.32,66.76,77.83,7.0,23.09,76.38,169.07,2.81
Potato,104.43,27.39,107.77,5.95,15.43,77.44,146.98,2.28
Soybean,82.58,45.06,69.8,6.39,28.63,65.23,97.51,1.96
Tomato,120.38,69.6,74.63,5.58,21.84,77.94,105.13,2.78
Sugarcane,229.59,85.76,69.14,7.12,27.58,65.34,241.23,7.25
Soybean,79.72,66.14,86.27,6.33,27.39,64.91,87.68,1.78
Potato,135.64,87.19,146.98,5.64,15.92,74.37,169.79,2.26
Soybean,118.52,11.47,2.26,6.25,31.49,54.34,-20.38,1.4
Sugarcane,207.31,78.2,80.29,6.72,30.55,68.74,274.7,6.8
Maize,124.29,47.48,44.87,6.53,28.99,46.41,182.27,3.63
Rice,135.7,30.36,46.49,5.6,16.04,88.45,199.72,2.87
Wheat,78.8,70.4,97.38,7.21,21.38,60.09,71.46,2.64
Soybean,61.67,70.09,18.74,5.91,33.18,66.53,202.66,1.73
Sugarcane,144.74,117.84,88.2,7.55,30.13,59.57,258.21,7.55
Maize,164.79,68.85,71.51,6.91,26.05,54.08,191.69,3.83
Onion,74.92,78.49,48.17,6.36,26.99,62.13,137.98,1.6
Potato,148.21,89.87,105.82,5.0,12.39,84.29,143.39,2.23
Rice,39.24,18.41,0.0,6.45,25.01,70.33,196.59,2.4
Onion,162.8,19.76,73.19,7.29,18.1,67.03,77.12,1.42
Sugarcane,245.27,112.11,110.17,6.98,22.58,72.92,310.33,6.83
Wheat,88.35,62.53,40.31,6.6,17.88,46.34,101.29,2.73
Potato,110.78,48.04,87.4,6.37,17.02,70.35,152.22,1.8
Maize,164.84,77.67,41.81,7.3,19.36,76.28,187.72,3.58
Potato,149.4,77.85,124.41,5.46,14.19,85.36,120.22,2.5
Onion,150.98,41.96,63.63,6.22,25.77,66.99,123.65,1.48
Onion,50.17,60.07,8.73,6.64,26.71,66.92,197.42,1.6
Tomato,100.38,60.55,79.05,5.71,19.3,64.39,18.19,2.73
Groundnut,22.53,16.54,48.08,6.56,28.14,56.76,129.57,1.59
Potato,159.22,63.51,105.53,6.6,15.02,95.98,123.72,2.3
Tomato,99.83,64.47,45.16,6.23,18.54,71.35,169.72,2.71
Onion,28.85,90.84,55.91,6.41,22.79,66.76,66.66,1.44
Soybean,61.78,51.91,36.27,5.78,26.73,75.85,155.74,2.09
Onion,109.73,39.35,66.79,6.12,17.5,55.36,154.0,1.9
Potato,164.62,101.44,82.41,6.17,17.37,83.47,144.24,2.19
Maize,166.23,87.52,36.63,6.77,19.71,40.02,190.02,3.62
Potato,157.86,41.01,92.98,4.89,24.85,64.14,212.77,2.32
Potato,122.98,57.34,107.01,5.58,18.51,70.17,60.94,1.76
Cotton,106.8,38.77,58.94,7.35,33.87,52.27,102.97,2.37
Sugarcane,159.29,104.46,111.04,7.54,20.32,67.39,206.09,7.22
Cotton,114.42,79.93,60.1,6.75,33.75,57.97,183.38,2.13
Onion,65.29,23.34,18.97,7.13,27.94,83.49,142.16,1.67
Potato,132.6,56.87,117.0,6.21,18.54,78.87,166.16,2.51
Sugarcane,238.85,110.88,116.92,7.46,27.69,82.57,180.28,7.4
Cotton,64.16,55.72,53.1,7.28,27.83,39.05,141.03,2.02
Potato,176.43,80.03,107.91,5.52,15.05,70.41,192.84,2.64
Wheat,95.84,81.54,16.61,6.4,15.21,46.47,70.82,2.35
Cotton,93.58,57.59,83.81,7.13,31.29,54.3,60.65,2.49
Sugarcane,182.33,81.29,96.44,6.74,27.91,78.44,267.42,7.32
Cotton,85.37,71.49,79.93,8.04,33.9,66.44,50.61,2.24
Groundnut,28.41,38.98,43.36,6.67,29.5,51.22,137.12,1.52
Groundnut,36.5,43.93,35.62,6.58,21.8,79.45,8.95,1.43
Onion,111.11,61.69,47.99,6.77,24.05,62.69,169.66,1.98
Wheat,146.18,40.68,58.41,6.85,14.97,63.6,123.12,2.76
Maize,117.89,104.38,32.07,6.91,28.96,59.29,222.62,3.0
Maize,193.56,70.28,38.07,6.65,29.04,59.16,142.53,3.48
Sugarcane,164.69,136.41,88.67,7.62,31.05,65.15,249.7,7.24
Soybean,74.35,83.86,70.43,6.96,23.7,59.2,99.32,1.9
Maize,166.37,26.57,49.84,6.88,23.61,77.91,201.09,3.76
Sugarcane,193.52,118.75,132.7,7.86,24.54,72.46,232.74,7.29
Wheat,140.59,43.22,61.36,5.99,27.21,54.88,152.79,2.59
Soybean,114.38,3.25,49.67,6.45,23.73,87.26,85.63,1.8
Soybean,90.69,85.23,36.66,6.13,31.48,74.25,52.75,1.73
Groundnut,41.59,66.76,26.42,4.74,29.62,47.8,-0.87,0.8
Onion,124.42,52.57,45.49,7.49,25.19,81.16,30.36,1.75
Potato,101.5,75.41,95.03,6.31,18.23,81.23,185.17,2.68
Soybean,70.54,41.18,54.92,6.1,33.41,67.17,101.72,1.85
Rice,101.55,36.85,27.17,7.33,23.72,80.36,232.62,2.69
Sugarcane,214.41,78.9,116.46,6.72,33.46,86.06,293.07,7.32
Soybean,73.06,48.47,79.42,6.15,20.81,76.65,90.19,1.66
Soybean,36.69,50.34,48.35,6.62,30.76,75.27,120.46,1.81
Tomato,135.3,85.45,82.53,6.27,19.04,55.55,153.31,2.74
Rice,97.32,37.43,68.14,6.26,32.78,79.61,169.58,3.01
Tomato,132.29,67.14,81.63,6.48,35.94,81.84,156.14,2.74
Soybean,110.21,70.36,50.52,6.35,25.6,38.3,140.53,1.82
Potato,197.78,80.39,76.22,5.98,12.77,79.73,164.55,2.37
Rice,56.27,40.68,12.7,6.85,30.59,84.96,200.08,2.98
Groundnut,78.13,44.3,42.77,5.66,22.66,60.98,155.2,1.03
Cotton,92.92,41.86,59.3,7.15,20.51,67.81,86.73,2.4
Soybean,41.9,73.38,63.44,6.69,21.03,72.5,70.85,1.71
Soybean,110.88,75.93,50.3,6.01,29.23,70.19,13.98,1.99
Onion,99.27,74.05,28.09,5.21,23.4,67.92,15.47,1.44
Onion,182.66,43.89,64.62,6.47,11.55,63.3,86.72,1.37
Tomato,116.56,65.29,77.0,5.87,26.43,50.51,17.48,2.92
Sugarcane,215.21,98.85,72.09,6.85,28.69,59.04,213.05,7.52
Potato,192.82,71.61,115.13,5.04,21.3,66.96,165.37,2.13
Sugarcane,239.61,82.51,112.55,7.06,29.21,73.16,207.72,7.25
Cotton,98.12,54.82,71.69,7.4,32.62,44.49,163.44,2.12
Soybean,97.64,72.39,11.77,6.55,23.66,62.41,197.54,1.6
Potato,125.81,81.51,113.71,5.93,23.83,80.31,41.09,2.13
Rice,63.14,49.59,0.0,7.77,30.66,81.49,259.08,3.1
Soybean,106.12,78.98,52.61,6.43,23.62,61.74,95.65,1.62
Groundnut,27.72,16.31,43.82,6.18,27.73,54.78,253.84,1.74
Soybean,42.66,64.66,37.84,5.99,19.3,74.32,95.93,2.0
Maize,179.81,97.48,32.95,7.04,28.16,60.26,141.41,3.66
Potato,156.82,92.72,83.56,5.39,15.15,73.76,96.79,2.28
Maize,99.34,47.6,63.42,7.1,23.04,54.82,128.63,3.22
Tomato,139.34,78.56,70.07,5.92,25.34,61.76,94.09,2.92
Onion,124.81,53.16,24.56,6.91,27.31,61.24,167.56,1.91
Rice,129.91,46.1,51.75,7.21,30.24,74.99,177.57,2.8
Soybean,41.28,57.13,71.93,5.4,33.67,81.22,107.01,1.84
Tomato,120.09,84.6,99.65,5.8,26.94,67.94,124.14,2.52
Tomato,172.44,80.8,65.2,5.83,22.07,74.35,132.01,2.7
Rice,103.7,59.39,46.54,5.81,27.02,90.6,197.42,3.01
Wheat,110.44,39.4,57.53,7.15,16.72,57.64,103.03,2.94
Soybean,71.17,89.06,80.57,6.46,20.96,49.14,56.4,1.44
Maize,191.35,72.32,57.79,5.69,19.01,73.87,194.34,3.49
Potato,166.95,112.72,95.58,6.03,18.96,98.92,45.03,2.32
Maize,146.56,81.34,36.85,6.78,28.56,96.13,220.4,3.43
Rice,67.29,30.93,4.09,6.33,31.66,67.26,252.42,2.84
Cotton,77.97,47.17,101.97,7.37,28.04,52.62,123.83,2.09
Soybean,16.86,100.84,53.11,6.7,25.71,62.65,120.7,1.27
Groundnut,98.31,25.31,19.36,5.98,33.44,60.15,38.19,0.86
Sugarcane,221.93,110.77,114.31,8.4,40.93,68.13,331.19,7.2
Potato,164.97,46.15,96.59,5.59,22.14,85.71,46.28,2.16
Groundnut,63.66,46.27,54.58,6.38,28.71,57.29,39.17,0.99
Groundnut,51.28,50.39,37.23,5.99,25.47,70.47,83.24,1.21
Soybean,102.31,55.9,50.63,7.3,25.9,72.89,71.05,1.94
Cotton,118.29,18.89,74.02,7.05,28.21,65.37,136.72,2.43
Soybean,50.19,62.72,51.69,5.97,30.78,93.25,129.15,2.04
Cotton,102.54,35.73,33.58,6.65,21.04,72.04,114.24,2.05
Wheat,146.67,37.56,44.66,7.03,25.14,65.02,162.42,2.54
Potato,162.01,84.03,79.4,6.02,12.63,75.81,125.97,2.81
Rice,78.8,11.92,37.32,6.76,36.37,74.11,120.88,3.13
Onion,58.58,41.28,44.85,6.77,25.45,58.16,86.31,1.71
Rice,84.49,41.96,48.72,6.92,29.96,84.54,120.89,3.25
Groundnut,44.39,64.58,26.15,5.87,24.13,65.36,151.69,1.32
Sugarcane,227.24,102.47,97.51,7.09,33.73,78.26,363.79,7.33
Wheat,135.54,49.42,42.61,6.99,20.69,89.18,140.79,2.43
Rice,88.19,0.0,38.16,6.51,31.97,89.74,174.82,2.82
Rice,57.02,17.44,46.2,5.86,25.93,70.05,227.48,3.22
Sugarcane,160.95,62.94,97.5,7.21,31.09,70.54,239.97,7.25
Sugarcane,231.21,60.9,92.62,7.31,25.41,92.31,218.23,7.01
Rice,96.68,28.17,3.07,6.29,33.15,76.63,157.68,2.85
Tomato,110.08,49.8,82.99,6.89,35.91,78.27,177.99,2.58
Maize,119.22,71.25,52.14,6.26,24.12,68.99,198.02,3.84
Sugarcane,208.73,89.86,89.72,6.6,38.92,75.13,238.76,7.29
Maize,238.07,48.53,41.42,7.01,28.0,74.58,270.38,3.21
Potato,118.32,74.86,106.16,7.03,11.01,87.03,159.0,2.4
Wheat,116.94,43.15,75.02,7.33,24.86,59.87,120.01,2.37
Tomato,144.58,68.48,60.68,6.23,21.67,55.17,79.12,2.4
Sugarcane,187.63,85.23,67.46,8.21,36.26,67.21,263.62,7.21
Potato,185.73,63.63,121.84,5.73,11.32,82.24,214.54,2.63
Cotton,64.01,63.98,61.8,7.39,20.65,42.37,81.21,2.08
Groundnut,10.77,63.18,60.54,6.5,35.09,64.16,39.16,1.55
Maize,131.85,88.21,81.47,7.03,17.52,55.82,246.14,3.2
Tomato,122.39,75.18,93.93,6.64,22.96,66.87,162.89,2.86
Tomato,112.28,81.64,77.42,6.07,20.21,60.21,106.38,2.97
Wheat,95.85,63.77,46.87,6.87,12.45,57.79,140.31,2.77
Maize,156.7,46.03,71.68,6.91,25.99,64.91,154.11,3.54
Cotton,114.27,15.06,59.22,6.87,29.28,66.93,81.41,1.97
Wheat,104.62,43.97,53.06,7.39,14.73,64.28,64.9,2.51
Tomato,110.12,93.5,74.5,5.4,14.01,70.34,150.69,2.61
Rice,85.03,63.25,29.21,6.95,19.84,70.95,109.65,2.82
Cotton,98.61,52.28,71.24,6.54,27.05,40.03,188.16,2.32
Tomato,105.33,91.78,55.16,5.94,18.52,69.32,141.58,2.63
Soybean,157.16,15.01,62.17,6.22,23.07,63.8,84.56,1.73
Soybean,105.27,60.46,77.02,5.74,19.35,48.22,95.03,1.82
Sugarcane,203.09,102.99,71.78,7.6,31.2,82.33,155.36,7.5
Wheat,84.37,52.05,70.69,7.05,15.74,60.06,73.42,2.81
Tomato,113.84,82.37,69.47,6.24,20.18,78.76,84.53,2.8
Sugarcane,188.53,60.48,88.59,6.61,30.17,63.1,296.3,7.17
Wheat,114.67,73.12,79.28,6.99,16.14,42.26,115.7,2.53
Cotton,103.21,43.1,83.76,6.69,27.71,66.84,137.09,2.31
Tomato,101.94,47.34,62.99,6.23,27.78,67.78,52.51,2.98
Wheat,129.6,31.86,51.16,7.06,28.52,48.92,198.8,2.83
Tomato,101.14,54.45,59.27,6.4,23.82,76.6,174.51,2.54
Rice,20.98,39.58,45.87,6.62,26.37,81.25,275.77,2.89
Groundnut,18.8,40.0,36.6,7.02,26.08,59.8,75.88,1.77
Onion,158.8,59.01,51.66,6.82,10.08,72.45,106.71,1.69
Soybean,58.66,52.31,41.78,7.01,24.11,90.83,151.54,1.67
Groundnut,26.14,36.97,0.0,7.0,30.52,65.33,108.27,1.11
Wheat,105.49,76.84,38.98,5.73,18.86,58.58,156.78,2.75
Onion,119.13,55.18,73.91,6.04,24.52,71.27,38.02,1.37
Groundnut,7.62,36.77,55.07,5.89,22.72,53.88,155.93,1.29
Rice,74.62,37.8,65.84,6.13,34.58,82.1,191.98,3.53
Soybean,48.33,52.93,25.35,6.98,34.45,86.7,191.2,1.67
Potato,139.04,46.58,140.72,6.23,15.54,88.28,101.36,2.18
Wheat,114.82,72.77,58.73,6.27,20.38,70.49,148.54,2.98
Soybean,48.63,59.47,37.51,6.87,26.16,76.9,184.39,2.03
Groundnut,38.19,30.04,39.94,5.93,25.28,56.25,51.0,1.16
Potato,129.96,83.87,73.04,6.01,27.5,85.23,232.18,2.24
Maize,185.03,55.52,37.11,5.43,30.93,80.4,152.34,3.32
Soybean,57.38,67.65,72.5,5.63,28.05,67.23,135.67,1.94
Maize,144.35,67.93,45.72,7.29,27.09,67.21,116.45,3.73
Onion,126.96,50.75,63.19,7.68,27.19,65.93,74.45,1.23
Cotton,94.95,43.48,77.81,6.92,26.4,37.21,73.0,2.41
Tomato,171.48,58.05,86.56,6.98,19.95,73.67,82.98,2.77
Onion,104.54,55.97,34.35,7.15,32.42,54.92,83.01,1.81
Potato,173.59,68.81,43.34,6.68,21.8,57.57,119.62,2.39
Potato,193.43,98.77,96.48,6.04,17.35,86.28,106.21,2.05
Soybean,110.31,59.11,77.57,6.16,25.73,60.78,130.37,1.53
Tomato,105.37,31.27,93.88,6.86,15.35,83.34,244.87,2.44
Cotton,80.77,106.49,43.62,7.01,28.9,68.45,137.99,1.73
Groundnut,1.46,43.16,19.86,6.22,24.18,45.06,162.76,1.11
Sugarcane,161.96,96.63,101.37,6.33,31.66,64.53,335.55,7.5
Wheat,108.0,45.1,57.9,7.31,19.87,57.83,152.92,2.68
Cotton,89.7,8.28,89.47,7.15,24.13,73.99,124.35,1.79
Potato,175.7,87.96,107.89,5.79,20.25,72.38,177.8,1.92
Sugarcane,186.98,134.44,84.66,6.9,27.76,62.85,139.59,7.05
Potato,154.08,78.95,97.1,6.02,23.11,73.1,121.3,2.35
Tomato,137.38,88.24,67.44,6.55,25.69,60.07,121.02,2.32
Tomato,66.93,67.33,72.32,6.6,23.91,60.24,117.74,2.36
Soybean,121.73,32.88,46.08,5.98,28.85,66.69,104.07,1.92
Groundnut,30.88,60.33,20.37,5.5,27.54,56.81,131.32,1.56
Rice,86.15,7.53,77.77,6.42,31.49,71.64,215.4,2.27
Potato,163.56,72.88,100.58,6.35,11.84,68.16,172.87,2.75
Groundnut,25.86,61.82,37.86,7.17,18.26,60.95,18.72,1.06
Maize,158.92,72.79,44.3,6.75,40.49,62.42,205.51,3.53
Potato,158.86,75.24,91.79,6.91,23.89,76.37,34.79,2.19
Sugarcane,281.09,95.39,122.06,7.92,31.09,66.58,128.23,6.91
Groundnut,5.56,53.52,15.0,6.07,27.17,62.69,44.26,1.51
Cotton,82.09,16.51,67.82,7.02,28.8,68.62,108.18,2.1
Groundnut,0.0,66.41,43.69,5.99,17.48,74.44,38.62,1.1
Cotton,110.75,26.07,40.13,5.94,31.6,49.55,266.36,1.76
Tomato,92.36,48.69,84.86,6.26,27.06,60.21,50.92,2.28
Cotton,33.29,39.64,63.98,6.68,34.22,67.28,103.26,1.61
Onion,83.0,38.0,36.86,6.45,18.73,61.13,68.22,1.78
Rice,90.81,21.79,65.42,6.01,19.91,83.81,159.13,2.81
Onion,27.89,77.85,63.45,6.05,14.61,81.72,63.13,1.19
Sugarcane,132.02,92.98,95.45,7.56,23.0,59.8,272.55,7.26
Wheat,72.87,81.63,60.75,7.55,19.65,34.78,142.4,2.74
Sugarcane,173.19,92.24,96.48,5.75,38.36,65.99,275.29,7.3
Soybean,117.73,68.12,45.3,6.05,29.99,51.27,162.29,1.62
Potato,187.57,83.23,112.88,6.04,9.24,66.39,183.62,2.23
Onion,135.43,58.07,30.67,6.4,22.51,41.86,183.67,1.69
Sugarcane,236.81,68.39,124.89,8.32,23.4,82.71,250.06,6.51
Potato,164.79,96.67,87.98,6.58,9.67,60.05,156.83,2.22
Potato,128.5,96.19,110.62,6.43,17.38,81.03,127.72,2.69
Potato,125.62,122.11,100.7,5.31,24.84,76.26,192.56,2.36
Rice,90.14,28.16,59.51,6.5,31.43,58.46,222.35,2.82
Wheat,169.6,72.46,64.8,7.24,15.01,76.23,249.57,2.54
Cotton,147.71,38.62,54.06,7.02,30.17,51.06,146.89,2.11
Sugarcane,170.05,110.38,117.27,7.29,35.76,62.83,273.4,7.02
Soybean,46.58,47.38,31.16,6.23,24.93,78.37,113.94,1.48
Sugarcane,234.2,83.26,98.83,7.42,31.0,85.94,273.95,7.24
Cotton,165.36,53.89,67.05,7.48,29.25,58.99,244.61,1.94
